CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,,,,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn
55,36,Male,38,2,2,22,Premium,Monthly,871,8,1,,,,,,,,,,,
56,20,Male,2,6,7,5,Premium,Monthly,786,13,1,,,,,,,,,,,
57,46,Female,51,9,8,11,Standard,Quarterly,358,2,1,,,,,,,,,,,
58,22,Female,22,1,8,17,Standard,Annual,606,14,1,,,,,,,,,,,
59,58,Female,21,25,3,0,Basic,Monthly,435,6,1,,,,,,,,,,,
60,43,Male,18,6,2,2,Standard,Annual,195,10,1,,,,,,,,,,,
61,23,Female,51,5,9,22,Premium,Annual,311,14,1,,,,,,,,,,,
62,42,Female,19,22,1,23,Standard,Quarterly,247,4,1,,,,,,,,,,,
63,33,Male,29,6,6,16,Standard,Monthly,102,29,1,,,,,,,,,,,
64,28,Male,40,29,0,29,Standard,Monthly,109,29,1,,,,,,,,,,,
65,51,Female,12,23,1,21,Standard,Monthly,840,22,1,,,,,,,,,,,
66,59,Male,46,24,10,12,Standard,Annual,429,22,1,,,,,,,,,,,
67,55,Male,49,3,6,13,Premium,Quarterly,831,9,1,,,,,,,,,,,
68,35,Male,23,23,1,5,Premium,Quarterly,742,24,0,,,,,,,,,,,
69,21,Female,44,2,6,26,Premium,Quarterly,534,25,1,,,,,,,,,,,
70,40,Female,33,2,7,1,Standard,Monthly,854,1,1,,,,,,,,,,,
71,37,Female,44,11,7,7,Standard,Annual,899,23,1,,,,,,,,,,,
72,39,Female,53,24,10,1,Standard,Quarterly,714,14,1,,,,,,,,,,,
73,42,Male,50,15,6,29,Basic,Quarterly,600,4,1,,,,,,,,,,,
74,37,Female,40,2,6,30,Standard,Monthly,996,4,1,,,,,,,,,,,
75,29,Female,32,16,3,19,Basic,Quarterly,725,6,1,,,,,,,,,,,
76,20,Female,46,24,9,9,Standard,Monthly,860,16,1,,,,,,,,,,,
77,32,Male,18,3,2,13,Basic,Monthly,399,29,1,,,,,,,,,,,
78,51,Female,7,25,5,28,Basic,Quarterly,398,6,1,,,,,,,,,,,
79,57,Female,44,26,2,25,Premium,Quarterly,548,18,1,,,,,,,,,,,
80,37,Male,54,15,7,12,Basic,Monthly,615,6,1,,,,,,,,,,,
81,49,Female,60,24,6,3,Standard,Quarterly,997,22,1,,,,,,,,,,,
82,48,Male,38,9,4,6,Basic,Annual,757,8,0,,,,,,,,,,,
83,26,Male,1,6,10,26,Basic,Annual,523,19,1,,,,,,,,,,,
84,46,Male,39,29,4,10,Standard,Monthly,588,7,1,,,,,,,,,,,
85,21,Female,17,28,8,17,Standard,Annual,445,24,1,,,,,,,,,,,
86,47,Male,6,16,2,2,Premium,Quarterly,928,3,0,,,,,,,,,,,
87,52,Male,33,4,0,1,Basic,Monthly,903,27,1,,,,,,,,,,,
88,56,Female,39,10,9,10,Standard,Monthly,737,3,1,,,,,,,,,,,
89,29,Female,30,30,3,6,Basic,Annual,327,2,1,,,,,,,,,,,
90,21,Male,35,3,10,14,Basic,Annual,790,9,1,,,,,,,,,,,
91,38,Female,20,3,2,12,Basic,Monthly,309,5,1,,,,,,,,,,,
92,37,Male,46,21,9,12,Basic,Annual,840,18,1,,,,,,,,,,,
93,55,Female,51,25,2,26,Standard,Quarterly,620,9,1,,,,,,,,,,,
94,52,Female,11,30,1,2,Basic,Quarterly,861,20,1,,,,,,,,,,,
95,29,Female,20,18,9,23,Standard,Annual,931,15,1,,,,,,,,,,,
96,36,Male,55,24,5,18,Basic,Annual,175,24,1,,,,,,,,,,,
97,46,Female,23,2,3,7,Premium,Monthly,677,29,1,,,,,,,,,,,
98,19,Male,59,5,3,23,Standard,Annual,136,18,1,,,,,,,,,,,
99,62,Male,47,21,2,25,Premium,Monthly,222,30,1,,,,,,,,,,,
100,28,Male,38,11,9,2,Standard,Monthly,407,22,1,,,,,,,,,,,
101,45,Female,56,20,4,11,Standard,Quarterly,776,26,1,,,,,,,,,,,
102,41,Male,60,24,8,22,Standard,Monthly,719,8,1,,,,,,,,,,,
103,30,Male,16,13,3,15,Basic,Quarterly,132,26,1,,,,,,,,,,,
104,25,Female,33,25,6,12,Basic,Annual,571,2,1,,,,,,,,,,,
105,25,Female,43,17,10,9,Basic,Quarterly,823,7,1,,,,,,,,,,,
106,38,Female,50,22,3,9,Basic,Monthly,815,7,1,,,,,,,,,,,
107,39,Male,38,22,8,2,Premium,Quarterly,845,2,1,,,,,,,,,,,
108,32,Male,28,17,7,26,Basic,Quarterly,138,5,1,,,,,,,,,,,
109,54,Female,15,27,6,21,Basic,Annual,382,23,1,,,,,,,,,,,
110,53,Male,28,30,7,11,Premium,Monthly,586,22,1,,,,,,,,,,,
111,43,Female,39,3,0,2,Standard,Monthly,133,6,1,,,,,,,,,,,
112,50,Male,43,25,3,2,Basic,Monthly,942,5,1,,,,,,,,,,,
113,57,Female,44,17,8,15,Premium,Annual,581,13,1,,,,,,,,,,,
114,43,Male,9,11,1,24,Basic,Monthly,226,9,1,,,,,,,,,,,
115,43,Male,25,5,2,16,Basic,Monthly,837,4,1,,,,,,,,,,,
116,59,Male,30,8,9,27,Premium,Quarterly,732,24,1,,,,,,,,,,,
117,48,Male,40,30,6,0,Basic,Annual,597,15,1,,,,,,,,,,,
118,23,Female,51,10,6,14,Basic,Annual,369,23,1,,,,,,,,,,,
119,25,Male,1,6,5,26,Standard,Quarterly,261,16,1,,,,,,,,,,,
120,50,Female,49,26,1,0,Premium,Monthly,773,15,1,,,,,,,,,,,
121,64,Female,23,19,5,19,Standard,Monthly,744,6,1,,,,,,,,,,,
122,44,Female,27,10,1,12,Basic,Annual,717,21,1,,,,,,,,,,,
123,30,Male,30,17,5,7,Standard,Annual,632,3,1,,,,,,,,,,,
124,63,Female,60,14,3,28,Basic,Monthly,361,20,1,,,,,,,,,,,
125,58,Male,24,11,7,27,Basic,Quarterly,429,15,1,,,,,,,,,,,
126,53,Female,53,15,9,14,Basic,Annual,239,3,1,,,,,,,,,,,
127,41,Male,51,16,9,0,Premium,Quarterly,977,21,1,,,,,,,,,,,
128,35,Male,17,14,9,17,Basic,Monthly,845,28,1,,,,,,,,,,,
129,46,Female,41,25,0,10,Basic,Annual,916,27,1,,,,,,,,,,,
130,34,Female,4,1,5,10,Standard,Monthly,369,22,1,,,,,,,,,,,
131,59,Female,10,9,2,7,Standard,Quarterly,858,1,1,,,,,,,,,,,
132,33,Male,21,10,3,27,Basic,Monthly,769,22,1,,,,,,,,,,,
133,33,Female,10,8,8,15,Standard,Quarterly,275,24,1,,,,,,,,,,,
134,22,Male,1,24,1,18,Basic,Annual,638,14,1,,,,,,,,,,,
135,27,Female,36,27,4,19,Standard,Annual,910,15,1,,,,,,,,,,,
136,22,Female,1,30,6,0,Basic,Monthly,639,23,1,,,,,,,,,,,
137,43,Male,54,13,9,24,Premium,Quarterly,561,19,1,,,,,,,,,,,
138,29,Female,14,8,5,18,Basic,Monthly,969,27,1,,,,,,,,,,,
139,38,Female,60,5,5,28,Basic,Quarterly,424,30,1,,,,,,,,,,,
140,61,Female,35,3,8,10,Basic,Annual,674,7,1,,,,,,,,,,,
141,41,Male,59,3,8,8,Premium,Quarterly,819,13,1,,,,,,,,,,,
142,40,Female,47,4,1,5,Premium,Annual,603,7,0,,,,,,,,,,,
143,41,Female,12,8,8,1,Premium,Annual,863,1,1,,,,,,,,,,,
144,58,Female,57,16,10,28,Basic,Quarterly,673,15,1,,,,,,,,,,,
145,34,Male,12,26,7,19,Premium,Quarterly,913,24,1,,,,,,,,,,,
146,64,Female,2,28,7,28,Standard,Quarterly,321,6,1,,,,,,,,,,,
147,30,Male,60,17,6,22,Standard,Monthly,282,30,1,,,,,,,,,,,
148,41,Male,7,23,3,26,Standard,Monthly,299,16,1,,,,,,,,,,,
149,31,Female,50,30,7,18,Premium,Quarterly,149,27,1,,,,,,,,,,,
150,29,Male,14,19,8,12,Premium,Annual,882,2,1,,,,,,,,,,,
151,32,Male,17,25,0,0,Premium,Annual,432,24,1,,,,,,,,,,,
152,41,Male,18,4,4,26,Basic,Monthly,156,11,1,,,,,,,,,,,
153,38,Male,43,12,4,20,Basic,Annual,765,2,1,,,,,,,,,,,
154,41,Male,34,9,0,2,Basic,Monthly,386,22,1,,,,,,,,,,,
155,43,Male,29,11,0,1,Standard,Quarterly,821,20,0,,,,,,,,,,,
156,41,Male,59,13,0,23,Basic,Annual,431,9,1,,,,,,,,,,,
157,34,Female,5,1,7,3,Basic,Annual,836,19,1,,,,,,,,,,,
158,63,Female,50,28,9,8,Standard,Annual,347,27,1,,,,,,,,,,,
159,47,Male,24,9,8,23,Premium,Quarterly,204,25,1,,,,,,,,,,,
160,20,Female,36,13,7,11,Basic,Annual,975,25,1,,,,,,,,,,,
161,19,Female,53,25,6,25,Premium,Monthly,754,23,1,,,,,,,,,,,
162,25,Male,47,1,1,6,Basic,Monthly,200,27,1,,,,,,,,,,,
163,29,Male,14,30,10,16,Premium,Annual,852,29,1,,,,,,,,,,,
164,63,Male,57,12,7,29,Premium,Annual,937,5,1,,,,,,,,,,,
165,48,Female,38,14,1,30,Basic,Monthly,786,20,1,,,,,,,,,,,
166,40,Male,51,1,9,21,Standard,Annual,929,3,1,,,,,,,,,,,
167,54,Female,6,8,0,14,Standard,Monthly,612,11,1,,,,,,,,,,,
168,48,Female,8,26,4,23,Standard,Quarterly,240,11,1,,,,,,,,,,,
169,49,Male,56,9,6,21,Basic,Quarterly,514,15,1,,,,,,,,,,,
170,22,Male,14,22,3,0,Basic,Quarterly,508,30,1,,,,,,,,,,,
171,32,Female,51,28,3,24,Standard,Annual,131,11,1,,,,,,,,,,,
172,38,Male,9,3,1,10,Basic,Monthly,422,2,1,,,,,,,,,,,
173,48,Female,36,5,9,1,Premium,Annual,293,4,1,,,,,,,,,,,
174,35,Female,55,26,6,12,Basic,Annual,827,30,1,,,,,,,,,,,
175,60,Female,10,13,8,30,Standard,Quarterly,321,18,1,,,,,,,,,,,
176,48,Male,49,8,10,12,Standard,Monthly,631,9,1,,,,,,,,,,,
177,35,Female,44,7,1,18,Standard,Quarterly,173,29,1,,,,,,,,,,,
178,45,Female,4,6,7,20,Premium,Quarterly,144,15,1,,,,,,,,,,,
179,45,Male,1,23,2,18,Basic,Annual,438,11,1,,,,,,,,,,,
180,36,Male,55,27,3,30,Basic,Monthly,394,4,1,,,,,,,,,,,
181,21,Female,51,28,0,28,Standard,Annual,643,6,1,,,,,,,,,,,
182,63,Female,10,19,8,25,Basic,Monthly,829,19,1,,,,,,,,,,,
183,49,Male,25,5,8,4,Standard,Quarterly,293,7,1,,,,,,,,,,,
184,48,Female,5,9,10,8,Basic,Quarterly,378,30,1,,,,,,,,,,,
185,40,Male,13,6,4,21,Standard,Monthly,364,16,1,,,,,,,,,,,
186,25,Male,5,12,5,0,Basic,Annual,327,29,1,,,,,,,,,,,
187,59,Male,39,4,3,22,Standard,Quarterly,579,15,1,,,,,,,,,,,
188,25,Female,40,10,7,14,Basic,Monthly,816,3,1,,,,,,,,,,,
189,26,Female,13,14,9,1,Basic,Annual,119,19,1,,,,,,,,,,,
190,29,Male,55,4,1,18,Standard,Monthly,942,19,1,,,,,,,,,,,
191,60,Male,30,15,2,14,Premium,Quarterly,156,13,1,,,,,,,,,,,
192,56,Female,58,19,10,17,Premium,Annual,547,27,1,,,,,,,,,,,
193,42,Female,52,22,5,0,Standard,Monthly,372,13,1,,,,,,,,,,,
194,42,Female,22,22,2,8,Basic,Monthly,856,11,1,,,,,,,,,,,
195,27,Female,40,5,8,3,Basic,Monthly,531,10,1,,,,,,,,,,,
196,65,Male,40,7,1,12,Basic,Annual,588,25,1,,,,,,,,,,,
197,61,Male,28,16,1,18,Standard,Quarterly,791,5,1,,,,,,,,,,,
198,31,Male,14,14,8,8,Basic,Quarterly,404,15,1,,,,,,,,,,,
199,60,Female,35,10,8,18,Premium,Annual,560,28,1,,,,,,,,,,,
200,48,Female,23,14,10,7,Basic,Quarterly,619,29,1,,,,,,,,,,,
201,22,Male,21,12,3,22,Premium,Monthly,376,17,1,,,,,,,,,,,
202,54,Female,24,15,6,22,Standard,Annual,549,28,1,,,,,,,,,,,
203,33,Male,23,26,8,4,Standard,Annual,396,5,1,,,,,,,,,,,
204,58,Male,13,10,2,12,Premium,Annual,587,7,1,,,,,,,,,,,
205,36,Female,41,15,8,7,Standard,Annual,356,1,1,,,,,,,,,,,
206,49,Female,57,26,7,13,Standard,Monthly,603,25,1,,,,,,,,,,,
207,22,Male,20,11,3,20,Premium,Quarterly,549,9,1,,,,,,,,,,,
208,42,Male,33,22,2,29,Standard,Quarterly,115,20,1,,,,,,,,,,,
209,56,Female,25,20,2,3,Premium,Monthly,375,4,1,,,,,,,,,,,
210,64,Male,19,30,5,15,Basic,Quarterly,404,4,1,,,,,,,,,,,
211,39,Male,54,13,0,5,Standard,Monthly,584,27,1,,,,,,,,,,,
212,27,Female,43,11,2,2,Premium,Annual,468,30,1,,,,,,,,,,,
213,39,Female,41,1,6,15,Standard,Monthly,282,3,1,,,,,,,,,,,
214,41,Female,16,9,0,17,Basic,Quarterly,707,5,1,,,,,,,,,,,
215,41,Male,51,6,2,29,Standard,Quarterly,565,9,1,,,,,,,,,,,
216,57,Female,47,14,3,25,Premium,Monthly,487,16,1,,,,,,,,,,,
217,58,Female,28,23,0,14,Premium,Monthly,743,14,1,,,,,,,,,,,
218,63,Female,46,19,7,12,Premium,Monthly,147,18,1,,,,,,,,,,,
219,64,Male,28,7,10,27,Premium,Quarterly,556,4,1,,,,,,,,,,,
220,62,Female,43,19,0,9,Premium,Quarterly,916,26,1,,,,,,,,,,,
221,49,Male,54,22,7,8,Premium,Quarterly,877,28,1,,,,,,,,,,,
222,59,Female,28,22,0,15,Premium,Monthly,118,18,1,,,,,,,,,,,
223,42,Female,30,14,6,3,Standard,Annual,102,28,1,,,,,,,,,,,
224,20,Male,41,3,9,23,Standard,Monthly,506,6,1,,,,,,,,,,,
225,52,Male,16,14,9,5,Premium,Quarterly,511,26,1,,,,,,,,,,,
226,26,Male,5,29,1,13,Premium,Annual,295,11,1,,,,,,,,,,,
227,47,Female,25,10,7,4,Basic,Annual,877,25,1,,,,,,,,,,,
228,22,Female,55,5,7,26,Basic,Monthly,942,24,1,,,,,,,,,,,
229,20,Male,29,20,2,6,Basic,Quarterly,680,8,0,,,,,,,,,,,
230,48,Female,33,29,2,11,Premium,Annual,886,27,1,,,,,,,,,,,
231,25,Male,54,6,5,22,Standard,Annual,264,19,1,,,,,,,,,,,
232,36,Male,7,8,10,14,Standard,Monthly,937,4,1,,,,,,,,,,,
233,42,Male,30,3,5,15,Premium,Annual,314,13,1,,,,,,,,,,,
234,20,Female,9,3,5,16,Standard,Monthly,190,23,1,,,,,,,,,,,
235,43,Male,32,2,7,10,Standard,Monthly,616,19,1,,,,,,,,,,,
236,53,Female,36,17,1,20,Basic,Quarterly,948,27,1,,,,,,,,,,,
237,28,Female,17,20,6,30,Basic,Annual,959,3,1,,,,,,,,,,,
238,45,Female,14,7,4,22,Basic,Quarterly,163,4,1,,,,,,,,,,,
239,35,Male,28,30,0,8,Standard,Annual,716,14,0,,,,,,,,,,,
240,34,Male,29,9,8,15,Basic,Annual,905,20,1,,,,,,,,,,,
241,27,Female,2,10,3,4,Premium,Quarterly,720,29,1,,,,,,,,,,,
242,27,Male,54,13,1,24,Premium,Annual,825,16,1,,,,,,,,,,,
243,50,Male,26,28,7,18,Standard,Monthly,452,1,1,,,,,,,,,,,
244,46,Female,4,14,8,1,Basic,Annual,457,8,1,,,,,,,,,,,
245,36,Male,1,29,4,4,Basic,Monthly,925,5,1,,,,,,,,,,,
246,48,Female,8,30,2,23,Basic,Annual,466,6,1,,,,,,,,,,,
247,34,Male,52,14,6,24,Premium,Annual,318,28,1,,,,,,,,,,,
248,33,Male,51,4,6,23,Premium,Annual,859,15,1,,,,,,,,,,,
249,37,Male,30,4,2,13,Premium,Annual,534,10,0,,,,,,,,,,,
250,26,Female,18,17,8,11,Basic,Monthly,562,16,1,,,,,,,,,,,
251,48,Male,51,6,0,26,Premium,Quarterly,322,22,1,,,,,,,,,,,
252,29,Male,58,11,10,9,Basic,Annual,420,24,1,,,,,,,,,,,
253,57,Female,22,16,8,13,Basic,Monthly,134,1,1,,,,,,,,,,,
254,33,Female,19,28,3,22,Premium,Monthly,415,27,1,,,,,,,,,,,
255,38,Male,8,11,2,7,Basic,Monthly,954,26,1,,,,,,,,,,,
256,48,Female,43,1,4,16,Basic,Annual,952,18,1,,,,,,,,,,,
257,19,Female,14,30,3,28,Premium,Quarterly,956,17,1,,,,,,,,,,,
258,38,Male,6,7,1,20,Standard,Monthly,703,20,1,,,,,,,,,,,
259,28,Male,46,27,2,13,Basic,Annual,781,11,0,,,,,,,,,,,
260,49,Male,53,5,3,21,Premium,Monthly,374,22,1,,,,,,,,,,,
261,44,Female,53,10,4,30,Standard,Quarterly,700,18,1,,,,,,,,,,,
262,60,Male,51,22,7,15,Premium,Annual,481,12,1,,,,,,,,,,,
263,48,Male,16,8,10,19,Basic,Annual,631,26,1,,,,,,,,,,,
264,38,Male,57,12,4,26,Premium,Quarterly,675,7,1,,,,,,,,,,,
265,18,Female,18,28,5,28,Standard,Quarterly,643,26,1,,,,,,,,,,,
266,45,Female,49,21,5,22,Basic,Monthly,249,24,1,,,,,,,,,,,
267,58,Male,47,11,7,7,Standard,Annual,433,8,1,,,,,,,,,,,
268,31,Female,16,20,4,11,Standard,Monthly,809,28,1,,,,,,,,,,,
269,60,Male,47,29,1,5,Basic,Monthly,942,29,1,,,,,,,,,,,
270,27,Female,48,13,3,16,Standard,Monthly,904,7,1,,,,,,,,,,,
271,30,Female,11,3,4,2,Premium,Quarterly,235,2,1,,,,,,,,,,,
272,21,Female,36,13,1,11,Standard,Quarterly,946,15,0,,,,,,,,,,,
273,21,Male,58,10,5,26,Standard,Quarterly,438,22,1,,,,,,,,,,,
274,59,Male,29,26,9,19,Basic,Annual,164,26,1,,,,,,,,,,,
275,41,Male,50,22,5,18,Premium,Quarterly,482,13,1,,,,,,,,,,,
276,19,Female,20,13,2,0,Premium,Quarterly,372,10,1,,,,,,,,,,,
277,60,Female,49,18,4,16,Standard,Annual,542,18,1,,,,,,,,,,,
278,47,Male,18,9,5,7,Basic,Quarterly,439,23,1,,,,,,,,,,,
279,20,Male,32,15,4,27,Premium,Monthly,618,22,1,,,,,,,,,,,
280,28,Male,18,16,3,16,Standard,Quarterly,721,3,1,,,,,,,,,,,
281,34,Male,1,18,9,16,Standard,Annual,896,29,1,,,,,,,,,,,
282,65,Female,60,14,10,30,Basic,Quarterly,220,26,1,,,,,,,,,,,
283,21,Male,57,14,5,2,Premium,Annual,509,20,1,,,,,,,,,,,
284,62,Female,15,25,2,3,Premium,Monthly,934,16,1,,,,,,,,,,,
285,39,Female,5,14,4,4,Standard,Monthly,652,16,1,,,,,,,,,,,
286,21,Male,15,23,7,29,Premium,Monthly,448,25,1,,,,,,,,,,,
287,33,Female,37,21,0,21,Standard,Quarterly,159,23,1,,,,,,,,,,,
288,58,Female,56,24,9,2,Premium,Monthly,556,11,1,,,,,,,,,,,
289,29,Male,12,22,4,14,Basic,Monthly,353,21,1,,,,,,,,,,,
290,53,Female,39,7,2,7,Premium,Monthly,893,4,1,,,,,,,,,,,
291,56,Male,43,16,0,16,Basic,Quarterly,828,3,1,,,,,,,,,,,
292,25,Female,27,23,8,26,Basic,Annual,525,2,1,,,,,,,,,,,
293,52,Male,30,24,0,1,Standard,Quarterly,972,11,1,,,,,,,,,,,
294,61,Male,6,17,3,12,Premium,Monthly,499,16,1,,,,,,,,,,,
295,46,Male,54,1,3,25,Basic,Annual,243,29,1,,,,,,,,,,,
296,50,Female,56,14,4,2,Basic,Quarterly,937,21,1,,,,,,,,,,,
297,33,Female,4,28,2,27,Premium,Quarterly,955,14,1,,,,,,,,,,,
298,33,Male,2,30,10,29,Basic,Annual,709,26,1,,,,,,,,,,,
299,47,Male,35,22,10,7,Premium,Annual,168,29,1,,,,,,,,,,,
300,38,Female,46,4,9,27,Premium,Monthly,169,8,1,,,,,,,,,,,
301,56,Female,6,28,2,13,Standard,Quarterly,948,22,1,,,,,,,,,,,
302,65,Female,48,23,3,21,Standard,Quarterly,559,3,1,,,,,,,,,,,
303,22,Male,39,7,0,5,Basic,Annual,149,30,1,,,,,,,,,,,
304,30,Female,44,25,2,29,Premium,Quarterly,592,9,1,,,,,,,,,,,
305,38,Female,30,12,6,18,Premium,Annual,741,28,1,,,,,,,,,,,
306,63,Female,11,21,0,26,Basic,Quarterly,724,4,1,,,,,,,,,,,
307,61,Male,13,28,8,22,Premium,Quarterly,135,1,1,,,,,,,,,,,
308,41,Female,9,19,5,2,Basic,Quarterly,353,11,1,,,,,,,,,,,
309,19,Male,8,29,9,27,Basic,Annual,455,6,1,,,,,,,,,,,
310,18,Female,42,8,0,4,Premium,Monthly,922,23,1,,,,,,,,,,,
311,38,Female,10,23,0,2,Premium,Monthly,121,22,1,,,,,,,,,,,
312,53,Female,7,30,10,17,Standard,Quarterly,921,12,1,,,,,,,,,,,
313,48,Male,41,25,4,11,Basic,Quarterly,110,20,1,,,,,,,,,,,
314,49,Male,37,20,9,7,Basic,Quarterly,718,6,1,,,,,,,,,,,
315,45,Female,53,23,5,18,Basic,Monthly,268,15,1,,,,,,,,,,,
316,50,Female,27,13,9,8,Basic,Monthly,710,29,1,,,,,,,,,,,
317,32,Male,33,2,5,8,Basic,Monthly,445,4,1,,,,,,,,,,,
318,57,Male,46,5,0,7,Premium,Annual,240,20,1,,,,,,,,,,,
319,43,Male,39,11,2,5,Standard,Monthly,626,14,1,,,,,,,,,,,
320,49,Female,45,26,4,3,Premium,Annual,565,21,1,,,,,,,,,,,
321,22,Male,22,12,3,18,Basic,Annual,144,19,1,,,,,,,,,,,
322,64,Female,52,8,1,18,Premium,Quarterly,113,15,1,,,,,,,,,,,
323,32,Male,15,3,5,17,Basic,Monthly,580,7,1,,,,,,,,,,,
324,57,Female,38,16,4,7,Premium,Annual,785,14,1,,,,,,,,,,,
325,24,Male,37,29,0,9,Standard,Quarterly,342,1,1,,,,,,,,,,,
326,51,Female,24,18,2,30,Basic,Monthly,243,26,1,,,,,,,,,,,
327,34,Male,36,8,9,10,Premium,Quarterly,921,28,1,,,,,,,,,,,
328,41,Female,18,27,2,26,Standard,Monthly,272,26,1,,,,,,,,,,,
329,37,Female,43,24,0,19,Standard,Monthly,555,14,1,,,,,,,,,,,
330,21,Male,13,23,8,1,Premium,Monthly,860,11,1,,,,,,,,,,,
331,26,Male,36,15,1,2,Premium,Quarterly,601,4,0,,,,,,,,,,,
332,52,Male,32,30,1,15,Basic,Annual,476,30,1,,,,,,,,,,,
333,61,Female,34,22,10,16,Basic,Monthly,118,2,1,,,,,,,,,,,
334,62,Male,32,14,2,8,Premium,Annual,471,2,1,,,,,,,,,,,
